C:\Python27\python.exe F:/hhly/scrapy/law/law_rule/wenshu_law/test.py
医疗机构执业许可证 >>>>>>>>>>> 30
中华人民共和国物权法 >>>>>>>>>>> 30
全国人民代表大会常务委员会关于〈中华人民共和国刑法〉第三百一十三条的解释 >>>>>>>>>>> 29
关于审理走私刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 29
最高人民法院关于适用〈中华人民共和国保险法〉若干问题的解释（二） >>>>>>>>>>> 27
湖北省高级人民法院、湖北省人民检察院﹤关于确定我省盗窃罪数额认定标准的通知﹥ >>>>>>>>>>> 27
人体轻伤鉴定标准（试行） >>>>>>>>>>> 27
中华人民共和国刑法修正案九 >>>>>>>>>>> 26
最高人民法院、最高人民检察院、司法部关于适用普通程序审理“被告人认罪”案件的若干意见（试行） >>>>>>>>>>> 25
中华人民共和国刑法修正案（六） >>>>>>>>>>> 25
机动车第三者责任保险条款 >>>>>>>>>>> 25
中华人民共和国商业银行法 >>>>>>>>>>> 25
中华人民共和国未成年人保护法 >>>>>>>>>>> 25
最高人民法院关于适用﹤中华人民共和国侵权责任法﹥若干问题的通知 >>>>>>>>>>> 24
人体重伤鉴定标准 >>>>>>>>>>> 24
全国人民代表大会常务委员会关于<中华人民共和国刑法>第三百一十三条的解释 >>>>>>>>>>> 24
最高人民法院、最高人民检察院、司法部〈关于适用普通程序审理”被告人认罪”案件的若干意见（试行）〉 >>>>>>>>>>> 24
最高人民法院 最高人民检察院关于办理组织和利用邪教组织犯罪案件具体应用法律若干问题的解释 >>>>>>>>>>> 23
关于在执行附加刑剥夺政治权利期间犯新罪应如何处理的批复 >>>>>>>>>>> 23
最高人民法院、最高人民检察院关于办理行贿案件具体应用法律若干问题的解释 >>>>>>>>>>> 23
关于刑事裁判涉财产部分执行的若干规定 >>>>>>>>>>> 22
道路交通安全法实施条例 >>>>>>>>>>> 22
最高人民法院、最高人民检察院、公安部、司法部关于依法惩治性侵害未成年人犯罪的意见 >>>>>>>>>>> 22
关于办理走私、非法买卖麻黄碱类复方制剂等刑事案件适用法律若干问题的意见 >>>>>>>>>>> 22
关于审理破坏森林资源刑事案件有关盗伐、滥伐林木“数量”标准的规定 >>>>>>>>>>> 22
甘肃省道路交通安全条例 >>>>>>>>>>> 21
最高人民法院关于适用﹤中华人民共和国保险法﹥若干问题的解释（二） >>>>>>>>>>> 21
最高人民法院关于适用中华人民共和国刑事诉讼法 >>>>>>>>>>> 21
关于＜中华人民共和国刑法＞第九十三条第二款的解释 >>>>>>>>>>> 21
最高人民法院、最高人民检察院关于办理污染环境刑事案件适用法律若干问题的解释 >>>>>>>>>>> 21
广西壮族自治区高级人民法院、人民检察院、公安厅关于确定盗伐林木罪、滥伐林木罪具体数量标准的通知 >>>>>>>>>>> 21
全国人民代表大会常务委员会关于〈中华人民共和国刑法〉第三百八十四条第一款的解释 >>>>>>>>>>> 20
关于适用刑法第十二条几个问题的解释 >>>>>>>>>>> 20
最高人民法院关于审理道路事故损害赔偿案件适用法律若干问题的解释 >>>>>>>>>>> 20
关于办理行贿案件具体应用法律若干问题的解释 >>>>>>>>>>> 20
最高人民法院关于适用﹤中华人民共和国刑事诉讼法﹥ >>>>>>>>>>> 19
中华人民共和国刑法（修正案九） >>>>>>>>>>> 19
关于办理生产、销售假药、劣药刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 19
陕西省实施﹤中华人民共和国道路交通安全法﹥办法 >>>>>>>>>>> 19
关于审理组织、运送他人偷越国（边）境等刑事案件适用法律若干问题的解释 >>>>>>>>>>> 19
最高人民法院、最高人民检察院、司法部关于适用普通程序审理“被告人认罪案件”的若干意见（试行）第九条 >>>>>>>>>>> 19
刑法修正案（八） >>>>>>>>>>> 19
最高人民法院关于审理道路交通事故赔偿案件适用法律若干问题的解释 >>>>>>>>>>> 18
本院认为，被告人龚岩以谋取非法利润为目的，明知为考试作弊器材而非法销售，严重扰乱国家教育考试安全的社会秩序，情节严重，其行为已构成非法经营罪。公诉机关指控的罪名成立。鉴于被告人龚岩在刑满释放后五年内又重新犯罪，系累犯，应依法从重处罚。被告人具有坦白情节，家属主动代为退缴赃款、部分缴纳财产刑，可依法从轻处罚。结合本案的具体事实、情节、危害后果及被告人的悔罪表现，充分考虑控辩双方的意见，依据龚某甲华人民共和国刑法 >>>>>>>>>>> 18
保险法 >>>>>>>>>>> 18
关于适用普通程序审理“被告人认罪”案件的若干意见（试行） >>>>>>>>>>> 18
最高人民法院关于审理适用法律若干问题的解释 >>>>>>>>>>> 18
最高人民法院关于适用﹤中华人民共和国﹥的解释 >>>>>>>>>>> 17
关于办理非法经营食盐刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 17
全国人大常委会关于刑法第九十三条第二款的解释 >>>>>>>>>>> 17
最高人民法院关于审理抢夺案件具体应用法律若干问题的解释 >>>>>>>>>>> 17
中华人民共和国开法 >>>>>>>>>>> 17
最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释二 >>>>>>>>>>> 17
中华人民共和国侵仅责任法 >>>>>>>>>>> 17
最高人民法院﹤关于审理人身损害赔偿标准案件适用法律若干问题的解释﹥ >>>>>>>>>>> 16
西藏自治区高级人民法院、西藏自治区人民检察院关于我区盗窃罪具体数额执行标准的通知 >>>>>>>>>>> 16
最高人民法院、最高人民检察院、司法部关于适用〈简易程序审理公诉案件的若干意见〉 >>>>>>>>>>> 16
最高人民法院关于适用＜中华人民共和国＞的解释 >>>>>>>>>>> 16
全国人大常委会关于〈中华人民共和国刑法〉第三百一十三条的解释 >>>>>>>>>>> 16
广东省高级人民法院关于审理刑事附带民事诉讼案件若干问题的指导意见 >>>>>>>>>>> 16
最高人民法院、最高人民检察院〈关于办理赌博案件具体应用法律若干问题的解释〉 >>>>>>>>>>> 15
最高人民法院、最高人民检察院关于办理赌博案件具体应用法律若干问题的解释 >>>>>>>>>>> 15
关于对我省盗窃犯罪数额认定标准 >>>>>>>>>>> 15
中华人民共和国村民委员会组织法 >>>>>>>>>>> 15
关于办理诈骗形式案件具体应用法律若干问题的解释 >>>>>>>>>>> 15
关于办理妨害武装部队制式服装、车辆号牌管理秩序等刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 15
最高人民法院、最高人民检察院关于办理知识产权刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 14
全国人民代表大会常务委员会关于﹤中华人民共和国刑法﹥第二百六十六条的解释 >>>>>>>>>>> 14
广东省道路交通安全条例 >>>>>>>>>>> 14
关于适用普通程序审理“被告人认罪”案件的若干意见 >>>>>>>>>>> 14
人民检察院刑事诉讼规则（试行） >>>>>>>>>>> 14
中华人民共和国合同法 >>>>>>>>>>> 14
最高人民法院关于适用〈中华人民共和国侵权责任法〉若干问题的通知 >>>>>>>>>>> 14
最高人民法院关于道路交通损害赔偿司法解释理解与适用 >>>>>>>>>>> 14
关××） >>>>>>>>>>> 14
关于〈中华人民共和国刑法〉第三百一十三条的解释 >>>>>>>>>>> 14
最高人民法院关于审理抢劫刑事案件适用法律若干问题的指导意见 >>>>>>>>>>> 14
浙江省实施﹤中华人民共和国道路交通安全法﹥办法 >>>>>>>>>>> 14
中华人民共和国邢法 >>>>>>>>>>> 14
最高人民法院关于道路交通损害赔偿案件适用法律若干问题的解释 >>>>>>>>>>> 14
全国人民代表大会常务委员会关于&lt；中华人民共和国刑法&gt；第九十三条第二款的解释 >>>>>>>>>>> 13
最高人民法院、最高人民检察院、公安部关于利用赌博机开设赌场案件适用法律若干问题的意见 >>>>>>>>>>> 13
全国人大常委会关于﹤中华人民共和国刑法﹥第三百一十三条的解释 >>>>>>>>>>> 13
贵州省高级人民法院、贵州省人民检察院关于对我省盗窃犯罪数额认定标准的规定 >>>>>>>>>>> 13
最高人民法院关于修改最高人民法院关于审理非法制造、买卖、运输枪支、弹药、爆炸物等刑事案件具体应用法律若干问题的解释的决定 >>>>>>>>>>> 13
最高人民法院关于适用<中华人民共和国刑事诉讼法> >>>>>>>>>>> 13
全国人民代表大会常务委员会关于中华人民共和国刑法第九十三条第二款的解释 >>>>>>>>>>> 13
中华人民共和国预防未成年人犯罪法 >>>>>>>>>>> 13
广西壮族自治区高级人民法院、广西壮族自治区人民检察院〈关于办理敲诈勒索刑事案件执行具体数额标准的通知〉 >>>>>>>>>>> 13
关于依法惩治性侵害未成年人犯罪的意见 >>>>>>>>>>> 13
最高人民检察院关于渎职侵权犯罪案件立案标准的规定 >>>>>>>>>>> 12
濒危野生动植物种国际贸易公约 >>>>>>>>>>> 12
全国人民代表大会常务委员会关于〈中华人民共和国刑法〉第一百五十八条、第一百五十九条的解释 >>>>>>>>>>> 12
最高人民法院﹤关于中华人民共和国刑法修正案（八）时间效力问题的解释﹥ >>>>>>>>>>> 12
全国人大常委会关于<中华人民共和国刑法>第九十三条第二款的解释 >>>>>>>>>>> 12
河南省道路交通安全条例 >>>>>>>>>>> 12
解释二 >>>>>>>>>>> 12
关于共同受贿案件中受贿数额认定问题的研究意见 >>>>>>>>>>> 12
贷款通则 >>>>>>>>>>> 11
关于适用〈中华人民共和国保险法〉若干问题的解释（二） >>>>>>>>>>> 11
关于〈中华人民共和国刑法〉第93条第2款的解释 >>>>>>>>>>> 11
最高人民法院、最高人民检察院、公安部关于办理走私、非法买卖麻黄碱类复方制剂等刑事案件适用法律若干问题的意见 >>>>>>>>>>> 11
宁夏回族自治区道路交通安全条例 >>>>>>>>>>> 11
全国人民代表大会常务委员会关于司法鉴定管理问题的决定 >>>>>>>>>>> 11
最高人民法院关于适用〈中华人民共和国刑法〉的解释 >>>>>>>>>>> 11
关于﹤中华人民共和国刑法﹥第三百八十四条第一款的解释 >>>>>>>>>>> 11
最高人民法院印发《关于处理自首和立功若干具体问题的意见》的通知 >>>>>>>>>>> 11
本院认为，被告人陈某、何某无视国家法律，故意伤害他人身体，致一人轻伤，其行为均已构成故意伤害罪，依法应予惩处。公诉机关指控二被告人的犯罪事实清楚，证据确实、充分，罪名成立，本院予以支持。惟被告人陈某、何某犯罪后自首，依法可以从轻处罚。案发后，二被告人赔偿了被害人损失，可以酌情从轻处罚。二被告人的辩护人相关的辩护意见有理，本院予以采纳。综合二被告人的犯罪事实、情节、认罪态度及对于社会的危害程度，公诉机关建议对二被告人判处有期徒刑一年以下的量刑建议合理，本院予以采纳。被告人陈某、何某对其犯罪行为造成附带民事诉讼原告人的直接物质损失，依法应予赔偿。对于附带民事诉讼原告人的诉讼请求，本院依法核定如下：1、医疗费。二被告人同意以法院核实的医疗费发票金额为准赔偿给附带民事诉讼原告人，原告人提供的医疗费发票据实计算为13260.49元，原告人只要求13257.49元并无不妥，本院予以采纳。二被告人应赔偿附带民事诉讼原告人13257.49元。2、误工费。附带民事诉讼原告人仅向本院提交了广州双浩商贸有限公司出具的××营业执照 >>>>>>>>>>> 11
条例 >>>>>>>>>>> 11
浙江省实施＜中华人民共和国道路交通安全法＞办法 >>>>>>>>>>> 11
本院认为，被告人吴山艺身为国家工作人员，利用职务便利，在征迁工作过程中非法收受他人财物人民币308000元，为他人谋取利益，其行为构成受贿罪；在履行职务过程中，故意违反规定处理公务，致使公共财产遭受重大损失，共计人民币1253880元，其行为构成滥用职权罪，依法应予追究其刑事责任。被告人吴山艺受贿未退还的赃款应予继续追缴。公诉机关指控罪名成立，予以支持。被告人吴山艺犯有数罪，应予并罚。被告人吴山艺归案后如实供述滥用职权的犯罪事实，依法可以从轻处罚；案发前退缴受贿的部分赃款以及因滥用职权造成的经济损失已部分追回，量刑时予以酌情从轻处罚。被告人吴山艺及其辩护人提出吴山艺不构成受贿罪、滥用职权罪的辩解、辩护意见不当，不予采纳。据此，依照中华人民共和国刑法 >>>>>>>>>>> 11
湖北省高级人民法院〈关于确定盗伐林木罪、滥伐林木罪数额认定标准的通知〉 >>>>>>>>>>> 11
最高人民法院、最高人民检察院关于办理非法生产、销售、使用禁止在饲料和动物饮用水中使用的药品等刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 11
全国人民代表大会常务委员会〈关于中华人民共和国刑法〉第九十三条第二款的解释 >>>>>>>>>>> 11
关于审理非法行医案件具体应用法律若干问题的解释 >>>>>>>>>>> 11
信访条例 >>>>>>>>>>> 11
最高人民法院关于适用＜中华人民共和国保险法＞若干问题的解释（二） >>>>>>>>>>> 11
广西壮族自治区高级人民法院、广西壮族自治区人民检察院关于办理盗窃刑事案件执行具体数额标准的通知 >>>>>>>>>>> 11
关于〈中华人民共和国刑法〉第三百四十一条、第三百一十二条的解释 >>>>>>>>>>> 10
最高人民法院、最高人民检察院关于办理赌博案件中具体应用法律若干问题的解释 >>>>>>>>>>> 10
广西壮族自治区高级人民法院、广西壮族自治区人民检察院、广西壮族自治区公安厅关于转发〈最高人民法院、最高人民检察院、公安部关于盗窃罪数额认定标准问题的规定〉的通知 >>>>>>>>>>> 10
全国人民代表大会常务委员会关于﹤刑法﹥第九十三条第二款的解释 >>>>>>>>>>> 10
关于适用﹤中华人民共和国刑事诉讼法﹥ >>>>>>>>>>> 10
关于适用普通程序审理“被告人自愿认罪案件”的若干意见（试行） >>>>>>>>>>> 10
湖北省高级人民法院、湖北省人民检察院 >>>>>>>>>>> 10
关于办理与盗窃、抢劫、抢夺机动车相关刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 10
最高人民法院、最高人民检察院﹤关于办理污染环境刑事案件适用法律若干问题的解释﹥ >>>>>>>>>>> 10
最高人民法院关于审理人体损害赔偿案件适用法律若干问题的解释 >>>>>>>>>>> 10
中华人民共和国宪法 >>>>>>>>>>> 10
本院认为，被告人张某甲伙同被告人刘某未经注册商标所有人许可，在同一种商品上使用与其注册商标相同的商标，情节特别严重，其行为已经构成假冒注册商标罪；被告人常某某身为现代重工公司企业人员，利用职务上的便利，非法收受他人9.96万元，为他人谋取利益，数额较大，其行为已构成非国家工作人员受贿罪。西安市人民检察院指控三被告人犯罪事实成立，罪名及适用法律正确，应予支持，唯指控被告人常某某的犯罪数额证据不足，予以纠正。被告人张某甲、刘某在本案中均起主要作用，系主犯，被告人刘某在共同犯罪中起的作用较被告人张某甲较小，且被告人张某甲、刘某能如实坦白犯罪事实，并能积极退缴赃款，依法可对二被告人分别从轻处罚；被告人常某某能积极退缴赃款，依法可酌情从轻处罚。为维护目家有关商标管理制度和他人的注册商标专用权，保护公司、企业正常管理活动和社会经济正常秩序，根据本案的犯罪事实、犯罪性质、情节和对于社会的危害程度，依照﹤中华人民共和国刑法 >>>>>>>>>>> 10
医疗机构管理条例 >>>>>>>>>>> 10
最高人民法院、最高人民检察院、公安部、国家安全部关于依法办理非法生产销售使用”伪基站”设备案件的意见 >>>>>>>>>>> 10
全国人民代表大会常务委员会关于<中华人民共和国刑法>第二百六十六条的解释 >>>>>>>>>>> 10
中国人民共和国保险法 >>>>>>>>>>> 10
中华人民共和国民事通则 >>>>>>>>>>> 10
最高人民法院关于〈中华人民共和国刑法修正案（九）〉时间效力问题的解释 >>>>>>>>>>> 10
刑诉法解释 >>>>>>>>>>> 10
关于办理盗窃刑事案件执行数额标准的通知 >>>>>>>>>>> 10
最高人民法院关于附带民事诉讼范围问题的规定 >>>>>>>>>>> 10
关于〈中华人民共和国刑法〉第三百八十四条第一款的解释 >>>>>>>>>>> 10
烟草解释 >>>>>>>>>>> 9
全国人民代表大会常务委员会关于〈中华人民共和国刑法〉第二百六十六条的解释 >>>>>>>>>>> 9
最高人民法院关于适用﹤中华人民共和国刑事诉法﹥的解释 >>>>>>>>>>> 9
医疗废物管理条例 >>>>>>>>>>> 9
中华人民共和国相符 >>>>>>>>>>> 9
贵州省高级人民法院、贵州省人民检察院关于对我省诈骗数额认定标准的规定 >>>>>>>>>>> 9
最高人民法院关于适用﹤中华人民共和国刑法诉讼法﹥的解释 >>>>>>>>>>> 9
最高人民法院关于执行〈人体损伤程度鉴定标准〉有关问题的通知 >>>>>>>>>>> 9
关于审理盗伐林木、滥伐林木刑事案件犯罪数量认定的意见 >>>>>>>>>>> 9
最高人民法院关于适用﹤﹥的解释 >>>>>>>>>>> 9
婚姻法 >>>>>>>>>>> 9
关于审理抢劫刑事案件适用法律若干问题的指导意见 >>>>>>>>>>> 9
中华人民共和国刑事讼诉法 >>>>>>>>>>> 9
中华人民共和国刑事诉法 >>>>>>>>>>> 9
湖南省高级人民法院关于审理盗伐、滥伐林木与竹林案件定罪量刑数量标准的规定 >>>>>>>>>>> 9
最高人民法院关于适用<中华人民共和国刑法>第六十四条有关问题的批复 >>>>>>>>>>> 9
最高人民法院关于适用﹤中华人民共和国刑法﹥的解释 >>>>>>>>>>> 9
陕西省实施<中华人民共和国道路交通安全法>办法 >>>>>>>>>>> 9
中华人民共和国刑某 >>>>>>>>>>> 9
最高人民法院关于适用<中华人民共和国保险法>若干问题的解释（二） >>>>>>>>>>> 9
全国人大常委会关于﹤中华人民共和国刑法﹥第一百五十八条、第一百五十九条的解释 >>>>>>>>>>> 9
最高人民法院关于审理刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 9
中华人民共和国道路交通管理条例 >>>>>>>>>>> 9
人体损伤程度鉴定标准 >>>>>>>>>>> 9
关于审理赌博刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 9
最高人民法院、最高人民检察院关于办理依法贿赂刑事案件适用法律若干问题的解释 >>>>>>>>>>> 8
最高人民法院关于适用〈中华人民共和国侵权责任法〉若干问题的解释 >>>>>>>>>>> 8
关于严惩拐卖、绑架妇女、儿童的犯罪分子的决定 >>>>>>>>>>> 8
最高人民检察院﹤关于审理交通肇事刑事案件具体应用法律若干问题的解释﹥第三条 >>>>>>>>>>> 8
最高人民法院关于适用﹤中华人民共和国刑事诉讼法 >>>>>>>>>>> 8
公安机关涉案枪支弹药性能鉴定工作规定 >>>>>>>>>>> 8
最高人民法院关于贯彻执行﹤中华人民共和国民法通则﹥若干问题的意见 >>>>>>>>>>> 8
关于审理人某身损害赔偿案件适用法律若干问题的解释 >>>>>>>>>>> 8
关于﹤中华人民共和国刑法﹥第一百五十八条、第一百五十九条的解释 >>>>>>>>>>> 8
关于﹤中华人民共和国刑法修正案（八）﹥时间效力问题的解释 >>>>>>>>>>> 8
全国人民代表大会常务委员会关于＜中华人民共和国刑法＞第三百一十三条的解释 >>>>>>>>>>> 8
关于适用财产性若干问题的规定 >>>>>>>>>>> 8
最高人民法院关于审理危害军事通信刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 8
本院认为，被告人王晓华无视国法，以非法占有为目的，采取暴力手段强行劫取他人财物，价值人民币1300元，其行为已构成抢劫罪；采取秘密手段窃取他人财物，价值人民币8409元，数额较大，其行为已构成盗窃罪，依法数罪并罚。公诉机关指控被告人王晓华犯抢劫罪、盗窃罪，事实清楚，证据确实、充分，指控罪名成立。被告人王晓华协助公安机关抓获同案犯陈某某，有立功表现，依法可以从轻或者减轻处罚；如实供述自己的罪行，依法可以从轻处罚。综上，根据被告人的犯罪事实、性质情节和对社会的危害程度，依据中华人民共和国刑法 >>>>>>>>>>> 8
最高人民法院﹤关于适用全国人民代表大会常务委员会关于惩治虚开、伪造和非法出售增值专用发票犯罪的决定﹥的若干问题的解释 >>>>>>>>>>> 8
最高人民法院、最高人民检察院关于印发《关于办理商业贿赂刑事案件适用法律若干问题的意见》的通知 >>>>>>>>>>> 8
关于公布失信被执行人名单信息的若干规定 >>>>>>>>>>> 8
关于审理破坏森林资源刑事案件有关盗伐、滥伐林木”数量”标准的规定 >>>>>>>>>>> 8
关于中华人民共和国刑法第九十三条第二款的解释 >>>>>>>>>>> 8
河北省高级人民法院、河北省人民检察院关于办理盗窃刑事案件执行具体数额标准的通知 >>>>>>>>>>> 8
最高人民法院关于审理走私刑事案件具体应用法律若干问题的解释（二） >>>>>>>>>>> 8
关于审理损害赔偿案件适用法律若干问题的解释 >>>>>>>>>>> 8
关于审理适用法律若干问题的解释 >>>>>>>>>>> 8
最高人民法院、最高人民检察院、公安部关于审理利用赌博机开设赌场案件适用法律若干问题的意见 >>>>>>>>>>> 8
纪要 >>>>>>>>>>> 8
关于司法鉴定管理问题的决定 >>>>>>>>>>> 8
扣押、追缴、没收物品估价管理办法 >>>>>>>>>>> 8
关于办理受贿贿赂刑事案件适用法律若干问题的解释 >>>>>>>>>>> 8
全国人民代表大会常务委员会关于﹤中华人民共和国刑法﹥第一百五十八条、第一百五十九条的解释 >>>>>>>>>>> 8
陕西省实施〈中华人民共和国道路交通安全法〉办法 >>>>>>>>>>> 8
最高人民法院〈关于审理人损害赔偿案件适用法律若干问题的解释〉 >>>>>>>>>>> 8
关于适用﹤中华人民共和国侵权责任法﹥若干问题的通知 >>>>>>>>>>> 8
最高人民法院、最高人民检察院关于办理诈骗犯罪刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 8
全国人民代表大会常务委员会关于〈中华人民共和国刑法〉第三十条的解释 >>>>>>>>>>> 8
关于审理拒不执行、裁定案件具体应用法律若干问题的解释 >>>>>>>>>>> 8
本院认为，被告人王钢、郭某某，以次充好，销售伪劣卷烟，其行为已构成生产、销售伪劣产品罪。公诉机关指控罪名成立。被告人王钢在缓刑考验期内，又犯新罪，应撤销缓刑。被告人郭钢能如实供述自己的罪行，部分未销售的假烟系未遂，可以从轻处罚。依照中华人民共和国刑法 >>>>>>>>>>> 8
本院认为：被告人戴某身为国有事业单位中从事公务的人员，利用职务上的便利，伙同他人擅自挪用单位公款购买银行理财产品，进行营利活动，数额达600万元，其行为已构成挪用公款罪，且属情节严重，依法应处五年以上有期徒刑。公诉机关指控被告人戴某犯挪用公款罪的事实清楚，证据确实充分，指控的罪名成立，本院予以支持。被告人戴某在伙同他人犯罪中起次要作用，系从犯，依法可减轻处罚；被告人戴某案发后能够自动投案，并如实供述自己的罪行，系自首，依法可从轻处罚；被告人戴某案发后积极全部退赃，当庭自愿认罪，悔罪态度明显，可酌情从轻处罚，故其辩护人的上述相关辩护意见成立，本院予以采纳。据此，本院依照中华人民共和国刑法 >>>>>>>>>>> 8
人体轻伤鉴定标准 >>>>>>>>>>> 8
四川省高级人民法院、四川省人民检察院关于我省盗窃具体数额执行标准的通知 >>>>>>>>>>> 8
释〉 >>>>>>>>>>> 7
中华人民共身损害赔偿案件适用法律若干问题的解释 >>>>>>>>>>> 7
关于办理森林火灾刑事案件的意见 >>>>>>>>>>> 7
全国人民代表大会常务委员关于﹤中华人民共和国刑法﹥第九十三条第二款的解释 >>>>>>>>>>> 7
